event_second,pair_1,bid_1,pair_2,bid_2,pair_3,bid_3,ratio
2024-02-17 16:10:40,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.36,1.003802776854928
2024-02-17 14:24:33,ADABTC,1.131e-05,BTCUSDC,51750.04,ADAUSDC,0.5831,1.0037608513119534
2024-02-17 16:03:07,SOLETH,0.03921,ETHUSDT,2780.08,SOLUSDT,108.6,1.0037471160220997
2024-02-17 16:20:32,SOLETH,0.03911,ETHUSDC,2765.82,SOLUSDC,107.77,1.003722930314559
2024-02-17 15:48:34,ETHBTC,0.05382,BTCUSDC,51711.29,ETHUSDC,2772.78,1.0037224835003138
2024-02-17 16:26:33,AVAXBTC,0.0007633,BTCUSDT,51520.05,AVAXUSDT,39.18,1.0037073549004594
2024-02-17 16:21:04,SOLETH,0.03896,ETHBTC,0.05356,SOLBTC,0.002079,1.0037025493025495
2024-02-17 14:33:33,ETHBTC,0.05366,BTCUSDC,51730.22,ETHUSDC,2765.81,1.0036277275734777
2024-02-17 16:05:17,SOLETH,0.03921,ETHUSDT,2779.44,SOLUSDT,108.59,1.0036084575006907
2024-02-17 16:08:23,SOLBTC,0.0021016,BTCUSDC,51617.27,SOLUSDC,108.09,1.003597507928578
2024-02-17 16:11:58,SOLETH,0.03921,ETHUSDT,2772.59,SOLUSDT,108.33,1.0035378371642205
2024-02-17 16:15:57,SOLETH,0.03921,ETHUSDT,2766.59,SOLUSDT,108.1,1.0034967058279374
2024-02-17 14:31:09,ETHBTC,0.05365,BTCUSDC,51730.0,ETHUSDC,2765.65,1.0034944768860845
2024-02-17 14:32:01,ETHBTC,0.05365,BTCUSDC,51730.0,ETHUSDC,2765.75,1.0034581939799332
2024-02-17 16:15:09,SOLETH,0.03921,ETHUSDT,2770.05,SOLUSDT,108.24,1.0034521480044347
2024-02-17 16:26:36,AVAXBTC,0.0007633,BTCUSDT,51520.05,AVAXUSDT,39.19,1.0034512417708599
2024-02-17 16:14:44,SOLETH,0.03921,ETHUSDT,2770.04,SOLUSDT,108.24,1.0034485254988914
2024-02-17 16:10:35,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.4,1.0034323699261993
2024-02-17 16:08:24,SOLBTC,0.0021016,BTCUSDC,51611.31,SOLUSDC,108.1,1.0033887982978724
2024-02-17 14:26:59,ADABTC,1.131e-05,BTCUSDC,51730.33,ADAUSDC,0.5831,1.0033785496484309
2024-02-17 16:17:44,SOLETH,0.03921,ETHUSDC,2765.74,SOLUSDC,108.08,1.0033740321983715
2024-02-17 16:17:02,SOLETH,0.03921,ETHUSDC,2765.73,SOLUSDC,108.08,1.003370404330126
2024-02-17 16:15:57,SOLETH,0.03921,ETHUSDC,2765.68,SOLUSDC,108.08,1.003352264988897
2024-02-17 15:48:27,ETHBTC,0.0538,BTCUSDC,51711.19,ETHUSDC,2772.78,1.0033475508334595
2024-02-17 16:08:28,SOLETH,0.03921,ETHUSDC,2766.17,SOLUSDC,108.1,1.0033443635522665
2024-02-17 16:27:34,AVAXBTC,0.0007633,BTCUSDT,51500.01,AVAXUSDT,39.18,1.0033169380551301
2024-02-17 16:27:37,AVAXBTC,0.0007633,BTCUSDT,51500.0,AVAXUSDT,39.18,1.003316743236345
2024-02-17 16:27:06,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.19,1.0033135400357236
2024-02-17 16:07:29,ETHBTC,0.05376,BTCUSDC,51621.01,ETHUSDC,2766.13,1.0032592458055116
2024-02-17 15:50:50,ETHBTC,0.05379,BTCUSDC,51717.74,ETHUSDC,2772.89,1.0032483202002243
2024-02-17 16:07:26,ETHBTC,0.05376,BTCUSDC,51620.01,ETHUSDC,2766.13,1.0032398107102702
2024-02-17 16:05:03,SOLETH,0.03921,ETHUSDT,2779.44,SOLUSDT,108.63,1.0032389063794533
2024-02-17 16:07:42,ETHBTC,0.05376,BTCUSDC,51620.01,ETHUSDC,2766.15,1.0032325570196845
2024-02-17 16:06:30,ETHBTC,0.05376,BTCUSDC,51618.01,ETHUSDC,2766.1,1.0032118208307728
2024-02-17 16:07:28,ETHBTC,0.05376,BTCUSDC,51618.01,ETHUSDC,2766.13,1.0032009405197877
2024-02-17 16:26:38,AVAXBTC,0.0007633,BTCUSDT,51520.05,AVAXUSDT,39.2,1.0031952593112243
2024-02-17 15:47:31,ETHBTC,0.05379,BTCUSDC,51711.19,ETHUSDC,2772.74,1.0031755267713525
2024-02-17 16:11:36,SOLETH,0.03921,ETHUSDT,2772.51,SOLUSDT,108.37,1.0031384802066994
2024-02-17 16:27:48,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.18,1.0031094560490046
2024-02-17 16:27:44,AVAXBTC,0.0007633,BTCUSDT,51489.35,AVAXUSDT,39.18,1.0031092612302195
2024-02-17 16:27:39,AVAXBTC,0.0007633,BTCUSDT,51489.34,AVAXUSDT,39.18,1.0031090664114342
2024-02-17 16:04:16,SOLETH,0.03921,ETHUSDT,2779.24,SOLUSDT,108.64,1.0030743777614137
2024-02-17 16:27:31,AVAXBTC,0.0007633,BTCUSDT,51500.2,AVAXUSDT,39.19,1.0030646251594795
2024-02-17 16:27:32,AVAXBTC,0.0007633,BTCUSDT,51500.06,AVAXUSDT,39.19,1.003061898392447
2024-02-17 16:27:33,AVAXBTC,0.0007633,BTCUSDT,51500.01,AVAXUSDT,39.19,1.0030609245470783
2024-02-17 16:27:22,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.2,1.0030575927040817
2024-02-17 16:08:29,ETHBTC,0.05376,BTCUSDC,51611.31,ETHUSDC,2766.17,1.003056220550436
2024-02-17 16:28:10,AVAXBTC,0.0007633,BTCUSDT,51484.85,AVAXUSDT,39.18,1.003021592776927
2024-02-17 16:28:09,AVAXBTC,0.0007633,BTCUSDT,51484.84,AVAXUSDT,39.18,1.0030213979581417
2024-02-17 16:14:43,SOLETH,0.03921,ETHUSDC,2766.41,SOLUSDC,108.15,1.0029675090152566
2024-02-17 14:45:11,ETHBTC,0.0537,BTCUSDC,51734.93,ETHUSDC,2770.17,1.0028863719555117
2024-02-17 14:25:25,ADABTC,1.13e-05,BTCUSDC,51750.0,ADAUSDC,0.5831,1.0028725776024696
2024-02-17 16:27:50,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.19,1.0028534954835417
2024-02-17 16:26:40,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.21,1.0028017759245091
2024-02-17 15:49:05,ETHBTC,0.05377,BTCUSDC,51711.23,ETHUSDC,2772.81,1.002777989512444
2024-02-17 16:11:36,SOLETH,0.03921,ETHBTC,0.05367,SOLBTC,0.0020988,1.002668524871355
2024-02-17 14:49:46,ETHBTC,0.05371,BTCUSDC,51714.75,ETHUSDC,2770.33,1.0026239554493508
2024-02-17 16:11:42,SOLETH,0.03921,ETHUSDT,2772.58,SOLUSDT,108.43,1.0026087042331457
2024-02-17 16:27:51,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.2,1.002597665510204
2024-02-17 15:49:04,ETHBTC,0.05376,BTCUSDC,51711.21,ETHUSDC,2772.81,1.0025911077931775
2024-02-17 16:26:44,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.22,1.0025460895971443
2024-02-17 16:16:33,SOLETH,0.03921,ETHBTC,0.05363,SOLBTC,0.0020975,1.0025422169249105
2024-02-17 16:10:58,ADABTC,1.134e-05,BTCUSDC,51603.48,ADAUSDC,0.5837,1.0025414822682885
2024-02-17 14:28:23,ADABTC,1.13e-05,BTCUSDC,51730.35,ADAUSDC,0.5831,1.0024917767106845
2024-02-17 14:21:32,ETHBTC,0.05368,BTCUSDC,51750.0,ETHUSDC,2771.05,1.002486422114361
2024-02-17 14:49:14,ETHBTC,0.0537,BTCUSDC,51714.69,ETHUSDC,2770.3,1.0024469743349096
2024-02-17 16:28:02,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.21,1.0023419660290742
2024-02-17 14:21:30,ETHBTC,0.05367,BTCUSDC,51750.0,ETHUSDC,2771.04,1.0023032868525896
2024-02-17 15:46:22,ETHBTC,0.05378,BTCUSDC,51675.02,ETHUSDC,2772.7,1.0023019351534606
2024-02-17 16:26:46,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.23,1.002290533622228
2024-02-17 14:27:20,ETHBTC,0.05369,BTCUSDC,51730.33,ETHUSDC,2771.31,1.002198028261003
2024-02-17 16:26:21,AVAXBTC,0.0007633,BTCUSDT,51520.62,AVAXUSDT,39.24,1.0021837218654435
2024-02-17 15:00:30,ETHBTC,0.05371,BTCUSDC,51701.0,ETHUSDC,2770.83,1.0021764994604505
2024-02-17 14:28:39,ETHBTC,0.05369,BTCUSDC,51730.33,ETHUSDC,2771.38,1.0021727145681936
2024-02-17 16:11:42,ADABTC,1.134e-05,BTCUSDC,51601.49,ADAUSDC,0.5839,1.0021594392875492
2024-02-17 14:20:38,ETHBTC,0.05366,BTCUSDC,51750.2,ETHUSDC,2771.0,1.0021348726091663
2024-02-17 14:20:39,ETHBTC,0.05366,BTCUSDC,51750.22,ETHUSDC,2771.01,1.0021316434079992
2024-02-17 14:21:08,ETHBTC,0.05366,BTCUSDC,51750.0,ETHUSDC,2771.03,1.0021201502690333
2024-02-17 15:01:31,ETHBTC,0.05371,BTCUSDC,51697.71,ETHUSDC,2770.86,1.0021018759879603
2024-02-17 16:27:57,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.22,1.0020863969403366
2024-02-17 15:01:29,ETHBTC,0.05371,BTCUSDC,51696.72,ETHUSDC,2770.86,1.0020826859530976
2024-02-17 16:12:15,SOLBTC,0.0020987,BTCUSDC,51601.49,SOLUSDC,108.08,1.0019989550610657
2024-02-17 16:12:41,SOLBTC,0.0020987,BTCUSDC,51605.49,SOLUSDC,108.09,1.0019839195392726
2024-02-17 16:15:57,SOLETH,0.03921,ETHBTC,0.05363,SOLBTC,0.0020987,1.0019689807976366
2024-02-17 16:12:44,SOLBTC,0.0020987,BTCUSDC,51604.49,SOLUSDC,108.09,1.0019645033120546
2024-02-17 16:26:19,AVAXBTC,0.0007633,BTCUSDT,51533.59,AVAXUSDT,39.26,1.0019253501528271
2024-02-17 16:16:04,SOLBTC,0.0020987,BTCUSDC,51600.48,SOLUSDC,108.09,1.0018866442409102
2024-02-17 16:29:54,AVAXBTC,0.0007633,BTCUSDT,51400.0,AVAXUSDT,39.16,1.0018799795709907
2024-02-17 15:58:53,ADABTC,1.133e-05,BTCUSDC,51711.41,ADAUSDC,0.5848,1.0018643558481533
2024-02-17 16:27:59,AVAXBTC,0.0007633,BTCUSDT,51489.36,AVAXUSDT,39.23,1.0018309581442775
2024-02-17 16:29:27,AVAXBTC,0.0007633,BTCUSDT,51423.05,AVAXUSDT,39.18,1.0018176126850433
2024-02-17 14:17:26,ETHBTC,0.05366,BTCUSDC,51730.12,ETHUSDC,2770.86,1.001796640465415
2024-02-17 16:10:49,ETHBTC,0.0537,BTCUSDC,51605.27,ETHUSDC,2766.26,1.0017868887957022
2024-02-17 16:22:46,AVAXBTC,0.0007637,BTCUSDT,51537.58,AVAXUSDT,39.29,1.0017625310766098
2024-02-17 14:23:01,SOLBTC,0.0021018,BTCUSDC,51750.0,SOLUSDC,108.58,1.001732823724443
2024-02-17 16:11:51,SOLETH,0.03921,ETHUSDC,2766.3,SOLUSDC,108.28,1.0017235223494645
2024-02-17 16:16:26,SOLBTC,0.0020987,BTCUSDT,51553.79,SOLUSDT,108.01,1.0017214986853067
2024-02-17 15:51:06,ADABTC,1.134e-05,BTCUSDC,51717.94,ADAUSDC,0.5855,1.0016762418445773
2024-02-17 15:46:54,ADABTC,1.131e-05,BTCUSDC,51675.02,ADAUSDC,0.5835,1.0016186395886888
2024-02-17 15:29:01,ETHBTC,0.05375,BTCUSDC,51658.42,ETHUSDC,2772.19,1.0016052561332376
2024-02-17 15:29:32,ETHBTC,0.05375,BTCUSDC,51658.42,ETHUSDC,2772.21,1.0015980300915153
2024-02-17 16:12:54,ETHBTC,0.05369,BTCUSDC,51605.49,ETHUSDC,2766.37,1.0015647791510174
2024-02-17 16:29:33,AVAXBTC,0.0007633,BTCUSDT,51423.05,AVAXUSDT,39.19,1.00156198175555
2024-02-17 15:07:07,ETHBTC,0.05371,BTCUSDC,51675.16,ETHUSDC,2771.2,1.0015418748556584
2024-02-17 16:26:51,AVAXBTC,0.0007633,BTCUSDT,51512.98,AVAXUSDT,39.26,1.0015246468160979
2024-02-17 16:23:36,AVAXBTC,0.0007637,BTCUSDT,51537.58,AVAXUSDT,39.3,1.0015076296692111
2024-02-17 15:25:31,ETHBTC,0.05373,BTCUSDC,51667.92,ETHUSDC,2772.03,1.0014744939989826
2024-02-17 16:14:43,SOLBTC,0.0020987,BTCUSDC,51605.49,SOLUSDC,108.15,1.0014280338696253
2024-02-17 16:29:47,AVAXBTC,0.0007633,BTCUSDT,51402.62,AVAXUSDT,39.18,1.0014195979070954
2024-02-17 14:15:12,ETHBTC,0.05366,BTCUSDC,51707.17,ETHUSDC,2770.73,1.0013991771843522
2024-02-17 16:16:33,SOLBTC,0.0020975,BTCUSDT,51550.29,SOLUSDT,107.98,1.0013588930820523
2024-02-17 15:58:20,SOLBTC,0.0021016,BTCUSDC,51711.18,SOLUSDC,108.53,1.0013472393623883
2024-02-17 14:11:11,ETHBTC,0.05366,BTCUSDC,51701.04,ETHUSDC,2770.57,1.001338282880418
2024-02-17 14:11:10,ETHBTC,0.05366,BTCUSDC,51701.02,ETHUSDC,2770.57,1.0013378955233037
2024-02-17 14:12:01,ETHBTC,0.05366,BTCUSDC,51701.0,ETHUSDC,2770.62,1.0013194375266186
2024-02-17 14:11:50,ETHBTC,0.05366,BTCUSDC,51700.32,ETHUSDC,2770.59,1.0013171097852802
2024-02-17 16:20:26,SOLUSDC,108.08,USDCUSDT,0.999,SOLUSDT,107.83,1.001316145785032
2024-02-17 14:10:49,ETHBTC,0.05366,BTCUSDC,51698.97,ETHUSDC,2770.53,1.001312647832725
2024-02-17 14:11:52,ETHBTC,0.05366,BTCUSDC,51700.0,ETHUSDC,2770.59,1.0013109121161916
2024-02-17 14:13:39,ETHBTC,0.05366,BTCUSDC,51701.45,ETHUSDC,2770.68,1.0013064688091011
2024-02-17 16:00:46,SOLBTC,0.0021017,BTCUSDC,51711.22,SOLUSDC,108.54,1.0013034003501013
2024-02-17 14:11:49,ETHBTC,0.05366,BTCUSDC,51699.33,ETHUSDC,2770.59,1.0012979357465377
2024-02-17 15:25:38,ETHBTC,0.05373,BTCUSDC,51658.46,ETHUSDC,2772.05,1.0012839075052757
2024-02-17 14:11:31,ETHBTC,0.05366,BTCUSDC,51698.26,ETHUSDC,2770.59,1.001277212290523
2024-02-17 16:00:47,SOLBTC,0.0021018,BTCUSDC,51711.23,SOLUSDC,108.55,1.0012589886135421
2024-02-17 16:25:26,AVAXBTC,0.0007637,BTCUSDT,51537.58,AVAXUSDT,39.31,1.001252857949631
2024-02-17 15:45:59,ADABTC,1.131e-05,BTCUSDC,51620.08,ADAUSDC,0.5831,1.0012401042702797
2024-02-17 16:11:36,ETHBTC,0.05367,BTCUSDC,51605.52,ETHUSDC,2766.28,1.0012248428937056
