event_second,pair_1,ask_1,pair_2,ask_2,pair_3,ask_3,ratio
2024-02-17 15:51:11,AVAXBTC,0.0007638,BTCUSDT,51698.55,AVAXUSDT,39.8,0.9921445349246234
2024-02-17 15:51:14,AVAXBTC,0.0007638,BTCUSDT,51698.6,AVAXUSDT,39.8,0.9921454944723618
2024-02-17 14:48:56,SOLBTC,0.0021018,BTCUSDT,51703.43,SOLUSDT,109.53,0.9921507274171459
2024-02-17 14:45:05,MATICBTC,1.791e-05,BTCUSDT,51701.57,MATICUSDT,0.9333,0.9921516325940212
2024-02-17 15:51:34,AVAXBTC,0.0007638,BTCUSDT,51699.07,AVAXUSDT,39.8,0.9921545142211056
2024-02-17 14:52:13,MATICBTC,1.791e-05,BTCUSDT,51720.65,MATICUSDT,0.9336,0.9921988447943445
2024-02-17 14:52:14,MATICBTC,1.791e-05,BTCUSDT,51720.68,MATICUSDT,0.9336,0.9921994203084833
2024-02-17 15:48:59,AVAXBTC,0.0007638,BTCUSDT,51675.61,AVAXUSDT,39.78,0.9922028888386123
2024-02-17 15:49:01,AVAXBTC,0.0007638,BTCUSDT,51675.7,AVAXUSDT,39.78,0.9922046168929108
2024-02-17 15:49:02,AVAXBTC,0.0007638,BTCUSDT,51675.75,AVAXUSDT,39.78,0.9922055769230769
2024-02-17 15:49:09,AVAXBTC,0.0007638,BTCUSDT,51675.88,AVAXUSDT,39.78,0.9922080730015084
2024-02-17 15:16:14,BNBBTC,0.006859,BTCUSDT,51628.7,BNBUSDT,356.9,0.9922142149061361
2024-02-17 16:17:06,ADABTC,1.128e-05,BTCUSDT,51547.32,ADAUSDT,0.586,0.9922419276450514
2024-02-17 15:34:09,AVAXBTC,0.0007638,BTCUSDT,51600.01,AVAXUSDT,39.72,0.9922479264350454
2024-02-17 15:33:48,AVAXBTC,0.0007638,BTCUSDT,51600.03,AVAXUSDT,39.72,0.9922483110271904
2024-02-17 15:33:50,AVAXBTC,0.0007638,BTCUSDT,51600.07,AVAXUSDT,39.72,0.9922490802114804
2024-02-17 15:42:44,AVAXBTC,0.0007638,BTCUSDT,51600.28,AVAXUSDT,39.72,0.992253118429003
2024-02-17 15:42:48,AVAXBTC,0.0007638,BTCUSDT,51600.37,AVAXUSDT,39.72,0.9922548490936557
2024-02-17 15:50:04,AVAXBTC,0.0007639,BTCUSDT,51697.54,AVAXUSDT,39.8,0.9922550453768845
2024-02-17 16:02:18,LINKBTC,0.0003787,BTCUSDT,51674.82,LINKUSDT,19.722,0.9922550620626711
2024-02-17 14:54:23,MATICBTC,1.791e-05,BTCUSDT,51701.52,MATICUSDT,0.9332,0.9922569901414486
2024-02-17 14:52:36,MATICBTC,1.791e-05,BTCUSDT,51718.22,MATICUSDT,0.9335,0.9922585111944295
2024-02-17 15:43:03,AVAXBTC,0.0007638,BTCUSDT,51600.69,AVAXUSDT,39.72,0.9922610025679759
2024-02-17 15:43:07,AVAXBTC,0.0007638,BTCUSDT,51600.77,AVAXUSDT,39.72,0.992262540936556
2024-02-17 14:50:58,MATICBTC,1.791e-05,BTCUSDT,51719.86,MATICUSDT,0.9335,0.9922899760042849
2024-02-17 14:50:20,MATICBTC,1.791e-05,BTCUSDT,51720.72,MATICUSDT,0.9335,0.9923064758435993
2024-02-17 16:17:36,DOGEBTC,1.62e-06,BTCUSDT,51547.35,DOGEUSDT,0.08415,0.9923554010695187
2024-02-17 14:22:25,SOLBTC,0.0021018,BTCUSDT,51723.93,SOLUSDT,109.55,0.9923629034596075
2024-02-17 15:00:16,MATICBTC,1.791e-05,BTCUSDT,51675.12,MATICUSDT,0.9326,0.992388375723783
2024-02-17 15:51:16,AVAXBTC,0.0007638,BTCUSDT,51698.65,AVAXUSDT,39.79,0.9923957996984167
2024-02-17 15:15:29,BNBBTC,0.006859,BTCUSDT,51623.72,BNBUSDT,356.8,0.9923965680493274
2024-02-17 15:51:22,AVAXBTC,0.0007638,BTCUSDT,51698.83,AVAXUSDT,39.79,0.9923992549384268
2024-02-17 15:51:30,AVAXBTC,0.0007638,BTCUSDT,51699.01,AVAXUSDT,39.79,0.9924027101784368
2024-02-17 14:51:51,MATICBTC,1.791e-05,BTCUSDT,51720.21,MATICUSDT,0.9334,0.9924030009642167
2024-02-17 15:51:32,AVAXBTC,0.0007638,BTCUSDT,51699.05,AVAXUSDT,39.79,0.9924034780095503
2024-02-17 15:51:36,AVAXBTC,0.0007638,BTCUSDT,51699.09,AVAXUSDT,39.79,0.9924042458406634
2024-02-17 15:51:39,AVAXBTC,0.0007638,BTCUSDT,51699.17,AVAXUSDT,39.79,0.9924057815028903
2024-02-17 16:03:02,LINKBTC,0.0003787,BTCUSDT,51674.82,LINKUSDT,19.719,0.9924060212992545
2024-02-17 15:51:40,AVAXBTC,0.0007638,BTCUSDT,51699.2,AVAXUSDT,39.79,0.9924063573762252
2024-02-17 16:16:29,DOGEBTC,1.62e-06,BTCUSDT,51550.29,DOGEUSDT,0.08415,0.992412
2024-02-17 14:35:43,SOLUSDC,108.66,USDCUSDT,0.9993,SOLUSDT,109.41,0.9924498491911159
2024-02-17 16:17:29,DOGEBTC,1.62e-06,BTCUSDT,51547.32,DOGEUSDT,0.08414,0.9924727644402186
2024-02-17 16:15:54,DOGEBTC,1.62e-06,BTCUSDT,51553.79,DOGEUSDT,0.08415,0.9924793796791443
2024-02-17 15:34:10,AVAXBTC,0.0007638,BTCUSDT,51600.01,AVAXUSDT,39.71,0.9924978000000001
2024-02-17 14:50:10,MATICBTC,1.791e-05,BTCUSDT,51720.52,MATICUSDT,0.9333,0.9925152825458051
2024-02-17 14:55:49,MATICBTC,1.791e-05,BTCUSDT,51693.11,MATICUSDT,0.9328,0.9925210121140652
2024-02-17 14:48:36,MATICBTC,1.791e-05,BTCUSDT,51699.85,MATICUSDT,0.9329,0.9925440170436274
2024-02-17 14:57:43,BNBBTC,0.006859,BTCUSDT,51674.88,BNBUSDT,357.1,0.9925455108373004
2024-02-17 14:44:56,MATICBTC,1.791e-05,BTCUSDT,51700.12,MATICUSDT,0.9329,0.9925492005574017
2024-02-17 15:10:04,BNBBTC,0.006859,BTCUSDT,51675.08,BNBUSDT,357.1,0.9925493523382805
2024-02-17 14:36:46,LTCBTC,0.001347,BTCUSDT,51757.42,LTCUSDT,70.24,0.9925575845671982
2024-02-17 14:21:33,SOLBTC,0.0021018,BTCUSDT,51720.39,SOLUSDT,109.52,0.992566797863404
2024-02-17 14:29:02,MATICBTC,1.792e-05,BTCUSDT,51700.59,MATICUSDT,0.9334,0.9925804293979001
2024-02-17 16:17:34,DOGEBTC,1.62e-06,BTCUSDT,51547.33,DOGEUSDT,0.08413,0.9925909259479377
2024-02-17 16:21:11,ADABTC,1.125e-05,BTCUSDT,51537.58,ADAUSDT,0.5841,0.9926344375963022
2024-02-17 14:49:24,SOLBTC,0.0021018,BTCUSDT,51719.56,SOLUSDT,109.51,0.9926415049584512
